"Review";"Review"
"Reviews";"Reviews"
"review";"review";"reviews"
"Reviews Plugin";"Reviews Plugin"


# plurals
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%1$s like";"%1$s like";"%1$s likes"
"%s helpful";"%s helpful";"%s helpfuls"
"%s recommend";"%s recommend";"%s recommends"
"%s review";"%s review";"%s reviews"
"%s star";"%s star";"%s stars"

"%1$s%% helpful (%2$s vote)";"%1$s%% helpful (%2$s vote)";"%1$s%% helpful (%2$s votes)"
"No vote";"No vote"

"ITEM_TYPE_REVIEW";"Reviews"

"ADMIN_ACTIVITY_TYPE_REVIEW_NEW";"When a new review is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_REVIEW";"When someone likes one of my review postings."
"ADMIN_ACTIVITY_TYPE_LIKED_REVIEW";"When someone comments on an review posting I liked."
"ADMIN_ACTIVITY_TYPE_COMMENT_REVIEW";"When someone comments on my review."
"ADMIN_ACTIVITY_TYPE_COMMENTED_REVIEW";"When someone comments on an review I commented on."
"ADMIN_ACTIVITY_TYPE_HAS_POSTED_REVIEW";"When someone posts a review about me."

"_ACTIVITY_ACTIONTYPE_REVIEW_NEW";"New reviews"
"_ACTIVITY_ACTIONTYPE_COMMENT_REVIEW";"Comments on your reviews"

"ACTIVITY_TYPE_HAS_POSTED_REVIEW";"When someone posts a review about me."
"ACTIVITY_TYPE_COMMENTED_REVIEW";"When someone comments on a review I commented on."
"ACTIVITY_TYPE_COMMENT_REVIEW";"When someone comments on one of my reviews."
"ACTIVITY_TYPE_LIKED_REVIEW";"When someone comments on a review I liked."
"ACTIVITY_TYPE_LIKE_REVIEW";"When someone likes one of my reviews."

# activity feeds
"{item:$subject} posted a new review:";"{item:$subject} posted a new review:"
"{item:$subject} commented on {item:$owner}''s {item:$object:review}: {body:$body}";"{item:$subject} commented on {item:$owner}''s {item:$object:review}: {body:$body}"
"{item:$subject} has commented on your {item:$object:review}.";"{item:$subject} has commented on your {item:$object:review}."
"{item:$subject} likes your {item:$object:review}.";"{item:$subject} likes your {item:$object:review}."
"{item:$subject} has commented on a {item:$object:review} you commented on.";"{item:$subject} has commented on a {item:$object:review} you commented on."
"{item:$subject} has commented on a {item:$object:review} you liked.";"{item:$subject} has commented on a {item:$object:review} you liked."
"{item:$subject} posted a {item:$object:review} about you.";"{item:$subject} posted a {item:$object:review} about you."

# menu / navigation
"View Reviews";"View Reviews"
"Review Questions";"Review Questions"
"Global Settings";"Global Settings"

"Browse Reviews";"Browse Reviews"
"My Reviews";"My Reviews"
"Post New Review";"Post New Review"

"5 stars";"5 stars"
"4 stars";"4 stars"
"3 stars";"3 stars"
"2 stars";"2 stars"
"1 star";"1 star"
"1";"1"
"2";"2"
"3";"3"
"4";"4"
"5";"5"

# admin - view reviews
"This page lists all of the reviews your users have posted. You can use this page to monitor these reviews and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific reviews. Leaving the filter fields blank will show all the reviews on your social network.";"This page lists all of the reviews your users have posted. You can use this page to monitor these reviews and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific reviews. Leaving the filter fields blank will show all the reviews on your social network."
"%s review found";"%s review found";"%s reviews found"

"Reviewer";"Reviewer"
"Rating";"Rating"
"Recommend";"Recommend"

"V";"V"
"C";"C"
"L";"L"
"H";"H"
"T";"T"

"Reviewer would recommend this member to a friend";"Reviewer would recommend this member to a friend"
"Reviewer left recommend box unchecked";"Reviewer left recommend box unchecked"
"Stats:";"Stats:"
"V = total views";"V = total views"
"C = total comments";"C = total comments"
"L = total likes";"L = total likes"
"H = total voted helpful";"H = total voted helpful"
"T = total votes (helpful + not helpful)";"T = total votes (helpful + not helpful)"

"Delete the selected reviews?";"Delete the selected reviews?"
"Are you sure that you want to delete the %d reviews? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d reviews? It will not be recoverable after being deleted."

"Featured Review?";"Featured Review?"
"Would you like to mark this review as featured?";"Would you like to mark this review as featured?"

"Delete Review?";"Delete Review?"
"Are you sure that you want to delete this review? It will not be recoverable after being deleted.";"Are you sure that you want to delete this review? It will not be recoverable after being deleted."

"There are no reviews posted by your members yet.";"There are no reviews posted by your members yet."
"Please select an review to delete.";"Please select an review to delete."
"Go Back";"Go Back"

# admin - global settings
"Enter the your license key that is provided to you when you purchased this plugin. If you do not know your license key, please contact Radcodes support team.";"Enter the your license key that is provided to you when you purchased this plugin. If you do not know your license key, please contact Radcodes support team."
"Review License Key";"Review License Key"
"How many reviews will be shown per page? (Enter a number between 1 and 100)";"How many reviews will be shown per page? (Enter a number between 1 and 100)"
"Reviews Per Page";"Reviews Per Page"

# admin - member level settings
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Yes, allow viewing of all reviews, even private ones.";"Yes, allow viewing of all reviews, even private ones."
"Yes, allow viewing of reviews.";"Yes, allow viewing of reviews."
"No, do not allow reviews to be viewed.";"No, do not allow reviews to be viewed."
"Yes, allow creation of reviews.";"Yes, allow creation of reviews."
"No, do not allow reviews to be created.";"No, do not allow reviews to be created."
"Yes, allow members to edit all reviews.";"Yes, allow members to edit all reviews."
"Yes, allow members to edit their own reviews.";"Yes, allow members to edit their own reviews."
"No, do not allow members to edit their reviews.";"No, do not allow members to edit their reviews."
"Yes, allow members to delete all reviews.";"Yes, allow members to delete all reviews."
"Yes, allow members to delete their own reviews.";"Yes, allow members to delete their own reviews."
"No, do not allow members to delete their reviews.";"No, do not allow members to delete their reviews."
"Yes, allow members to comment on all reviews, including private ones.";"Yes, allow members to comment on all reviews, including private ones."
"Yes, allow members to comment on reviews.";"Yes, allow members to comment on reviews."
"No, do not allow members to comment on reviews.";"No, do not allow members to comment on reviews."
"Yes, mark review as Featured when created.";"Yes, mark review as Featured when created."
"No, do not mark review as Featured when created.";"No, do not mark review as Featured when created."
"Do you want to let members view reviews? If set to no, some other settings on this page may not apply.";"Do you want to let members view reviews? If set to no, some other settings on this page may not apply."
"Allow Viewing of Reviews?";"Allow Viewing of Reviews?"
"Allow Creation of Reviews?";"Allow Creation of Reviews?"
"Do you want to let members edit reviews? If set to no, some other settings on this page may not apply.";"Do you want to let members edit reviews? If set to no, some other settings on this page may not apply."
"Allow Editing of Reviews?";"Allow Editing of Reviews?"
"Do you want to let members delete reviews? If set to no, some other settings on this page may not apply.";"Do you want to let members delete reviews? If set to no, some other settings on this page may not apply."
"Allow Deletion of Reviews?";"Allow Deletion of Reviews?"
"Do you want to let members of this level comment on reviews?";"Do you want to let members of this level comment on reviews?"
"Allow Commenting on Reviews?";"Allow Commenting on Reviews?"
"Would you like to mark review as Featured when created?";"Would you like to mark review as Featured when created?"
"Your members can choose from any of the options checked below when they decide who can see their reviews. If you do not check any options, everyone will be allowed to view reviews.";"Your members can choose from any of the options checked below when they decide who can see their reviews. If you do not check any options, everyone will be allowed to view reviews."
"Reviews View Privacy";"Reviews View Privacy"
"Review Comment Options";"Review Comment Options"

"Allow to Be Reviewed?";"Allow to Be Reviewed?"
"Would you like members to be reviewed by others? If set to no, others would not be able to write review for members belong to this level.";"Would you like members to be reviewed by others? If set to no, others would not be able to write review for members belong to this level."
"Yes, let others post reviews.";"Yes, let others post reviews."
"No, do not let others post reviews.";"No, do not let others post reviews."

# admin - review questions
"Your members will be asked to provide some information about their reviews when creating a new review. Create some review questions that allow them to provide more detailed reviews in a way that relates to the theme of your community. To reorder the review questions, click on their names and drag them up or down.";"Your members will be asked to provide some information about their reviews when creating a new review. Create some review questions that allow them to provide more detailed reviews in a way that relates to the theme of your community. To reorder the review questions, click on their names and drag them up or down."

# landing home page
"Reviews Home Page";"Reviews Home Page"
"This is the home page for reviews.";"This is the home page for reviews."

"Top Rated Members";"Top Rated Members"

"Featured Review";"Featured Review"
"Recent Reviews";"Recent Reviews"
"Popular Tags";"Popular Tags"
"All Review Tags";"All Review Tags"

"Sort By";"Sort By"
"Rating Descending";"Rating Descending"
"Rating Ascending";"Rating Ascending"
"Helpfulness";"Helpfulness"
"Most Helpful";"Most Helpful"
"Most Recommended";"Most Recommended"
"Most Reviewed";"Most Reviewed"

"Search Reviews";"Search Reviews"
"Top Reviewers";"Top Reviewers"
"Review Statistics";"Review Statistics"

"Recommended";"Recommended"
"Read More";"Read More"
"Only Reviews With Recommend";"Only Reviews With Recommend"
"Reviewed by %s";"Reviewed by %s"

"%1$s out of %2$s member recommended";"%1$s out of %2$s members recommended";"%1$s out of %2$s members recommended"
"%1$s of %2$s person found the following review helpful:";"%1$s of %2$s person found the following review helpful:";"%1$s of %2$s people found the following review helpful:"

"All reviews";"All reviews"
"See all my reviews";"See all my reviews"
"I would recommend this member to a friend!";"I would recommend this member to a friend!"

"Nobody has posted any reviews with that criteria.";"Nobody has posted any reviews with that criteria."
"Nobody has posted any reviews yet.";"Nobody has posted any reviews yet."
"Get started by <a href='%1$s'>posting</a> a new review.";"Get started by <a href='%1$s'>posting</a> a new review."

"Showing reviews posted";"Showing reviews posted"
"tagging #%s";"tagging #%s"
"with keyword %s";"with keyword %s"
"having %s star";"having %s star";"having %s stars"
"that has members reviewers %s";"that has members reviewers %s"

"Post Review";"Post Review"
"Edit Review";"Edit Review"
"Delete Review";"Delete Review"

# create/edit/delete review
"Edit your review below, then click ""Save Changes"" to save your review.";"Edit your review below, then click ""Save Changes"" to save your review."
"Compose your new review below, then click ""Post Review"" to publish the review.";"Compose your new review below, then click ""Post Review"" to publish the review."
"How do you rate this member?";"How do you rate this member?"
"Enter a title for your review";"Enter a title for your review"
"Type your detailed review about this member in the space below";"Type your detailed review about this member in the space below"
"Your Review";"Your Review"
"&nbsp;";"&nbsp;"
"Please list any pros of this member (optional)";"Please list any pros of this member (optional)"
"Pros";"Pros"
"Please list any cons of this member (optional)";"Please list any cons of this member (optional)"
"Cons";"Cons"

"Who may see this review?";"Who may see this review?"
"Who may post comments on this review?";"Who may post comments on this review?"
"Show this review in search results";"Show this review in search results"

"You have already reviewed this member.";"You have already reviewed this member."
"You have already reviewed this member. To update your review, please use Edit Review function.";"You have already reviewed this member. To update your review, please use Edit Review function."
"You cannot write a review for yourself.";"You cannot write a review for yourself."

"Are you sure that you want to delete the review with the title ""<a href=""%3$s"">%1$s</a>"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the review with the title ""<a href=""%3$s"">%1$s</a>"" last modified %2$s? It will not be recoverable after being deleted."

"You do not have any review that match your search criteria.";"You do not have any review that match your search criteria."
"You do not have any reviews.";"You do not have any reviews."

# profile
"View Your Review";"View Your Review"
"Rating: %1$s stars (%2$s)";"Rating: %1$s stars (%2$s)"
"with %1$s (%2$s%%)";"with %1$s (%2$s%%)"
"You rated %s/5";"You rated %s/5"
"Average Member Rating";"Average Member Rating"
"Rating: %1$s out of 5 stars (%2$s)";"Rating: %1$s out of 5 stars (%2$s)"
"You reviewed this member with rating of %1s star on %2s.";"You reviewed this member with rating of %1s star on %2s.";"You reviewed this member with rating of %1s stars on %2s."
"Read your review";"Read your review"
"Rating Breakdown";"Rating Breakdown"
"View All Reviews";"View All Reviews"
"%1$d out of %2$d (%3$d%%) member would recommend %4$s to a friend.";"%1$d out of %2$d (%3$d%%) member would recommend %4$s to a friend.";"%1$d out of %2$d (%3$d%%) members would recommend %4$s to a friend."
"%s's Reviewed Members";"%s's Reviewed Members"
"No rating has been casted yet.";"No rating has been casted yet."
"Share your thoughts about this member with others?";"Share your thoughts about this member with others?"
"Write a Review";"Write a Review"
"Review This Member";"Review This Member"

# user reviews
"Total: %s review";"Total: %s review";"Total: %s reviews"
"Average Rating: %s star";"Average Rating: %s star";"Average Rating: %s stars"
"Recommended By: %1$s (%2$s%%)";"Recommended By: %1$s (%2$s%%)"
"View all reviewed members &raquo;";"View all reviewed members &raquo;"
"%s's Reviews";"%s's Reviews"
"Below are reviews posted by other members for %s.";"Below are reviews posted by other members for %s."
"Want to contribute?";"Want to contribute?"

"Review Details:";"Review Details:"
"Help other members find the most helpful reviews";"Help other members find the most helpful reviews"
"Was this review helpful to you?";"Was this review helpful to you?"
"helpful";"helpful"
"not helpful";"not helpful"

"No review has been posted yet.";"No review has been posted yet."
"Nobody has posted a review with that criteria.";"Nobody has posted a review with that criteria."
"Nobody has posted a review yet.";"Nobody has posted a review yet."
"Be the first to <a href='%s'>post</a> one!";"Be the first to <a href='%s'>post</a> one!"
"You rated %1$s star on %2$s.";"You rated %1$s star on %2$s.";"You rated %1$s stars on %2$s."
"Pros:";"Pros:"
"Cons:";"Cons:"

"Your feedback has been removed.";"Your feedback has been removed."
"Thank you for your feedback!";"Thank you for your feedback!"

# owner review
"Contribution Stats";"Contribution Stats"
"Posted: %s review";"Posted: %s review";"Posted: %s reviews"
"Average Rated: %s star";"Average Rated: %s star";"Average Rated: %s stars"
"Recommended: <a href='%2$s'>%1$s member</a>";"Recommended: <a href='%2$s'>%1$s member</a>";"Recommended: <a href='%2$s'>%1$s members</a>"
"See all reviews &raquo;";"See all reviews &raquo;"
"Below are members whom %s has reviewed.";"Below are members whom %s has reviewed."
"You can also check out <a href='%2$s'>%1$s's reviews</a> posted by other members.";"You can also check out <a href='%2$s'>%1$s's reviews</a> posted by other members."
"This member has not posted any reviews with that criteria.";"This member has not posted any reviews with that criteria."
"This member has not posted a review yet.";"This member has not posted a review yet."

# view review
"Average %s with %s review";"Average %s with %s review";"Average %s with %s reviews"
"View All Reviews";"View All Reviews"
"Write New Review";"Write New Review"
"Edit This Review";"Edit This Review"
"Delete This Review";"Delete This Review"
"reviewed %s member";"reviewed %s member";"reviewed %s members"
"average rated %s star";"average rated %s star";"average rated %s stars"
"See all reviewed members &raquo;";"See all reviewed members &raquo;"
"%s's Review";"%s's Review"
"Review Details";"Review Details"

# top list
"Top Members";"Top Members"
"Most Recommended Members";"Most Recommended Members"
"Below are our most recommended members sorted by number of recommendations a member has gotten.";"Below are our most recommended members sorted by number of recommendations a member has gotten."
"Most Reviewed Members";"Most Reviewed Members"
"Below are our most reviewed members sorted by number of reviews a member has been reviewed.";"Below are our most reviewed members sorted by number of reviews a member has been reviewed."
"Top Reviewers";"Top Reviewers"
"Below are members who has contributed the most number of reviews.";"Below are members who has contributed the most number of reviews."
"Top Rated Members";"Top Rated Members"
"Below are our top rated members sorted by average weighted ratings.";"Below are our top rated members sorted by average weighted ratings."


# title header tag
"pagetitle-review-list-user-index";"Reviews For Member"
"pagetitle-review-list-owner-index";"Member Reviewed By"
"pagetitle-review-browse-index";"Browse Reviews"
"pagetitle-review-manage-index";"My Reviews"
"pagetitle-review-create-index";"Post New Review"
"pagetitle-review-tags-index";"Popular Review Tags"
"pagetitle-review-index-index";"Reviews Home Page"
"pagetitle-review-edit-index";"Edit Review"
"pagetitle-review-delete-index";"Delete Review"

"pagetitle-review-top-rated-members-list";"Top Rated Members"
"pagetitle-review-most-recommended-members-list";"Most Recommended Members"
"pagetitle-review-most-reviewed-members-list";"Most Reviewed Members"
"pagetitle-review-top-reviewers-list";"Top Reviewers"

"pagetitle-review-index-admin-manage";"Admin Review - View Reviews"
"pagetitle-review-delete-admin-manage";"Admin Review - Delete Review"
"pagetitle-review-featured-admin-manage";"Admin Review - Feature Review"
"pagetitle-review-deleteselected-admin-manage";"Admin Review - Delete Selected Reviews"
"pagetitle-review-index-admin-settings";"Admin Review - Global Settings"
"pagetitle-review-index-admin-level";"Admin Review - Member Level Settings"
"pagetitle-review-index-admin-fields";"Admin Review - Review Questions"
